"module name","license","repository"
"@babel/code-frame@7.27.1","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.28.4","MIT","https://github.com/babel/babel"
"@babel/core@7.28.4","MIT","https://github.com/babel/babel"
"@babel/generator@7.28.3","MIT","https://github.com/babel/babel"
"@babel/helper-annotate-as-pure@7.27.3","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.27.2","MIT","https://github.com/babel/babel"
"@babel/helper-create-class-features-plugin@7.28.3","MIT","https://github.com/babel/babel"
"@babel/helper-create-regexp-features-plugin@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-globals@7.28.0","MIT","https://github.com/babel/babel"
"@babel/helper-member-expression-to-functions@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.28.3","MIT","https://github.com/babel/babel"
"@babel/helper-optimise-call-expression@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-replace-supers@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-skip-transparent-expression-wrappers@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helpers@7.28.4","MIT","https://github.com/babel/babel"
"@babel/parser@7.28.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-async-generators@7.8.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators"
"@babel/plugin-syntax-bigint@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-bigint"
"@babel/plugin-syntax-class-properties@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-class-static-block@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-attributes@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-meta@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-json-strings@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-json-strings"
"@babel/plugin-syntax-jsx@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-logical-assignment-operators@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-nullish-coalescing-operator@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-nullish-coalescing-operator"
"@babel/plugin-syntax-numeric-separator@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-object-rest-spread@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-object-rest-spread"
"@babel/plugin-syntax-optional-catch-binding@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-catch-binding"
"@babel/plugin-syntax-optional-chaining@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining"
"@babel/plugin-syntax-private-property-in-object@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-top-level-await@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-typescript@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-arrow-functions@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-class-properties@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-classes@7.28.4","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-commonjs@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-nullish-coalescing-operator@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-optional-chaining@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-shorthand-properties@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-template-literals@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-typescript@7.28.0","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-unicode-regex@7.27.1","MIT","https://github.com/babel/babel"
